game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url,home_club_name,away_club_name,aggregate,competition_type
3840136,FR1,2022,18. Matchday,2023-01-11,667,826,2,2,19.0,2.0,Mathieu Le Scornet,Franck Haise,Stade de la Meinau,25624.0,François Letexier,https://www.transfermarkt.co.uk/rc-strasbourg-alsace_rc-lens/index/spielbericht/3840136,RC Strasbourg Alsace,RC Lens,2:2,domestic_league
3844815,IT1,2022,8. Matchday,2022-10-02,6574,380,5,0,7.0,15.0,Alessio Dionisi,Davide Nicola,Mapei Stadium - Città del Tricolore,15786.0,Maria Sole Ferrieri Caputi,https://www.transfermarkt.co.uk/us-sassuolo_us-salernitana-1919/index/spielbericht/3844815,US Sassuolo,US Salernitana 1919,5:0,domestic_league
3844827,IT1,2022,10. Matchday,2022-10-15,749,2919,1,0,9.0,13.0,Paolo Zanetti,Raffaele Palladino,Carlo Castellani,7528.0,Antonio Rapuano,https://www.transfermarkt.co.uk/fc-empoli_ac-monza/index/spielbericht/3844827,FC Empoli,AC Monza,1:0,domestic_league
3860221,TR1,2022,10. Matchday,2022-10-17,868,36,0,3,17.0,2.0,Ömer Erdogan,Jorge Jesus,Eryaman Stadyumu,17450.0,Halil Umut Meler,https://www.transfermarkt.co.uk/mke-ankaragucu_fenerbahce/index/spielbericht/3860221,MKE Ankaragücü,Fenerbahce,0:3,domestic_league
3860393,TR1,2022,28. Matchday,2023-04-08,868,924,3,2,14.0,17.0,Tolunay Kafkas,Fatih Tekke,Eryaman Stadyumu,8236.0,Mustafa Kürsad Filiz,https://www.transfermarkt.co.uk/mke-ankaragucu_istanbulspor/index/spielbericht/3860393,MKE Ankaragücü,Istanbulspor,3:2,domestic_league
3860476,TR1,2022,30. Matchday,2023-04-20,868,11688,3,1,14.0,16.0,Tolunay Kafkas,Hakan Keles,Eryaman Stadyumu,10301.0,Halil Umut Meler,https://www.transfermarkt.co.uk/mke-ankaragucu_giresunspor/index/spielbericht/3860476,MKE Ankaragücü,Giresunspor,3:1,domestic_league
3885845,ES1,2022,3. Matchday,2022-08-27,367,237,0,2,11.0,9.0,Andoni Iraola,Javier Aguirre,Campo de Fútbol de Vallecas,10944.0,José María Sánchez Martínez,https://www.transfermarkt.co.uk/rayo-vallecano_rcd-mallorca/index/spielbericht/3885845,Rayo Vallecano,RCD Mallorca,0:2,domestic_league
3886486,ES1,2022,16. Matchday,2023-01-06,1531,940,0,1,20.0,16.0,Pablo Machín,Carlos Carvalhal,Manuel Martínez Valero,20121.0,Miguel Ángel Ortiz Arias,https://www.transfermarkt.co.uk/elche-cf_celta-de-vigo/index/spielbericht/3886486,Elche CF,Celta de Vigo,0:1,domestic_league
3886492,ES1,2022,17. Matchday,2023-02-02,418,1049,2,0,2.0,12.0,Carlo Ancelotti,Voro,Santiago Bernabéu,51926.0,Javier Alberola Rojas,https://www.transfermarkt.co.uk/real-madrid_valencia-cf/index/spielbericht/3886492,Real Madrid,Valencia CF,2:0,domestic_league
3886587,ES1,2022,25. Matchday,2023-03-11,418,714,3,1,2.0,15.0,Carlo Ancelotti,Diego Martínez,Santiago Bernabéu,59782.0,Jorge Figueroa Vázquez,https://www.transfermarkt.co.uk/real-madrid_rcd-espanyol-barcelona/index/spielbericht/3886587,Real Madrid,RCD Espanyol Barcelona,3:1,domestic_league
3837818,GB1,2022,1. Matchday,2022-08-07,1003,1148,2,2,11.0,12.0,Brendan Rodgers,Thomas Frank,King Power Stadium,31794.0,Jarred Gillett,https://www.transfermarkt.co.uk/leicester-city_brentford-fc/index/spielbericht/3837818,Leicester City,Brentford FC,2:2,domestic_league
3837976,GB1,2022,6. Matchday,2022-09-03,29,31,0,0,16.0,7.0,Frank Lampard,Jürgen Klopp,Goodison Park,39240.0,Anthony Taylor,https://www.transfermarkt.co.uk/everton-fc_liverpool-fc/index/spielbericht/3837976,Everton FC,Liverpool FC,0:0,domestic_league
3838002,GB1,2022,8. Matchday,2022-09-18,29,379,1,0,15.0,18.0,Frank Lampard,David Moyes,Goodison Park,39298.0,Michael Oliver,https://www.transfermarkt.co.uk/everton-fc_west-ham-united/index/spielbericht/3838002,Everton FC,West Ham United,1:0,domestic_league
3838015,GB1,2022,9. Matchday,2022-10-02,281,985,6,3,2.0,9.0,Pep Guardiola,Erik ten Hag,Etihad Stadium,53475.0,Michael Oliver,https://www.transfermarkt.co.uk/manchester-city_manchester-united/index/spielbericht/3838015,Manchester City,Manchester United,6:3,domestic_league
3838026,GB1,2022,10. Matchday,2022-10-10,703,405,1,1,19.0,12.0,Steve Cooper,Steven Gerrard,The City Ground,29208.0,Anthony Taylor,https://www.transfermarkt.co.uk/nottingham-forest_aston-villa/index/spielbericht/3838026,Nottingham Forest,Aston Villa,1:1,domestic_league
3838035,GB1,2022,11. Matchday,2022-10-16,180,379,1,1,18.0,15.0,Ralph Hasenhüttl,David Moyes,St Mary's Stadium,29159.0,Peter Bankes,https://www.transfermarkt.co.uk/southampton-fc_west-ham-united/index/spielbericht/3838035,Southampton FC,West Ham United,1:1,domestic_league
3838196,GB1,2022,13. Matchday,2022-10-24,379,989,2,0,13.0,16.0,David Moyes,Gary O'Neil,London Stadium,62447.0,David Coote,https://www.transfermarkt.co.uk/west-ham-united_afc-bournemouth/index/spielbericht/3838196,West Ham United,AFC Bournemouth,2:0,domestic_league
3838209,GB1,2022,14. Matchday,2022-10-29,931,29,0,0,7.0,14.0,Marco Silva,Frank Lampard,Craven Cottage,23534.0,John Brooks,https://www.transfermarkt.co.uk/fulham-fc_everton-fc/index/spielbericht/3838209,Fulham FC,Everton FC,0:0,domestic_league
3838229,GB1,2022,15. Matchday,2022-11-05,399,989,4,3,12.0,17.0,Jesse Marsch,Gary O'Neil,Elland Road,36304.0,Tony Harrington,https://www.transfermarkt.co.uk/leeds-united_afc-bournemouth/index/spielbericht/3838229,Leeds United,AFC Bournemouth,4:3,domestic_league
3838232,GB1,2022,15. Matchday,2022-11-06,180,762,1,4,18.0,3.0,Ralph Hasenhüttl,Eddie Howe,St Mary's Stadium,30402.0,Stuart Attwell,https://www.transfermarkt.co.uk/southampton-fc_newcastle-united/index/spielbericht/3838232,Southampton FC,Newcastle United,1:4,domestic_league
3838258,GB1,2022,17. Matchday,2022-12-28,399,281,1,3,13.0,2.0,Jesse Marsch,Pep Guardiola,Elland Road,36889.0,Stuart Attwell,https://www.transfermarkt.co.uk/leeds-united_manchester-city/index/spielbericht/3838258,Leeds United,Manchester City,1:3,domestic_league
3838628,GB1,2022,35. Matchday,2023-05-07,762,11,0,2,3.0,2.0,Eddie Howe,Mikel Arteta,St James' Park,50267.0,Chris Kavanagh,https://www.transfermarkt.co.uk/newcastle-united_arsenal-fc/index/spielbericht/3838628,Newcastle United,Arsenal FC,0:2,domestic_league
3838670,GB1,2022,32. Matchday,2023-04-22,873,29,0,0,12.0,18.0,Roy Hodgson,Sean Dyche,Selhurst Park,25202.0,John Brooks,https://www.transfermarkt.co.uk/crystal-palace_everton-fc/index/spielbericht/3838670,Crystal Palace,Everton FC,0:0,domestic_league
3838673,GB1,2022,32. Matchday,2023-04-23,989,379,0,4,15.0,13.0,Gary O'Neil,David Moyes,Vitality Stadium,10465.0,Anthony Taylor,https://www.transfermarkt.co.uk/afc-bournemouth_west-ham-united/index/spielbericht/3838673,AFC Bournemouth,West Ham United,0:4,domestic_league
